SATELLITE-SPECIFIC INFO FOR GNSS AND LEO SATELLITES, JING GUO's PANDA v1.3     2023-07-03 11:16:20:0620 
-------------------------------------------------------------------------------------------------------

FORMAT VERSION:  1.10
THIS FORMAT IS BASED ON BSW5.2 SATELLITE.I14 FILE (ftp://ftp.aiub.unibe.ch/BSWUSER52/GEN/SATELLITE.I14)

PART 1: PHYSICAL SATELLITE PARAMETERS
(A3,2X,A3,2X,A20,2X,A9,2X,I4,5(1X,I2),2X,I4,5(1X,I2),2X,F6.1,2X,I4)
-------------------------------------------------------------------
          SATELLITE               COSPAR        START TIME           END TIME          MASS  IFRQ
PRN  SVN     TYPE                   ID     YYYY MM DD HH MM SS  YYYY MM DD HH MM SS    (KG)

G13  009  BLOCK I               1984-059A  1984 06 13 00 00 00  1994 06 20 23 59 59   520.4     0
G13  043  BLOCK IIR-A           1997-035A  1997 07 23 00 00 00                       1100.0     0
G14  014  BLOCK II              1989-013A  1989 02 14 00 00 00  2000 04 15 23 59 59   880.0     0
G14  041  BLOCK IIR-A           2000-071A  2000 11 10 00 00 00  2020 07 27 23 59 59  1100.0     0
G14  077  BLOCK IIIA            2020-078A  2020 11 05 00 00 00                       2000.0     0
G15  015  BLOCK II              1990-088A  1990 10 01 00 00 00  2007 03 13 23 59 59   880.0     0
G15  055  BLOCK IIR-M           2007-047A  2007 10 17 00 00 00                       1100.0     0
G16  016  BLOCK II              1989-064A  1989 08 18 00 00 00  2000 10 13 23 59 59   880.0     0
G16  056  BLOCK IIR-A           2003-005A  2003 01 29 00 00 00                       1100.0     0
G17  017  BLOCK II              1989-097A  1989 12 11 00 00 00  2005 02 23 23 59 59   880.0     0
G17  053  BLOCK IIR-M           2005-038A  2005 09 26 00 00 00                       1100.0     0
G18  018  BLOCK II              1990-008A  1990 01 24 00 00 00  2000 08 18 23 59 59   880.0     0
G18  054  BLOCK IIR-A           2001-004A  2001 01 30 00 00 00  2018 01 23 23 59 59  1100.0     0
G18  034  BLOCK IIA             1993-068A  2018 01 24 00 00 00  2020 03 09 23 59 59   975.0     0
G18  075  BLOCK IIIA            2019-056A  2020 03 13 00 00 00                       2000.0     0
G19  019  BLOCK II              1989-085A  1989 10 21 00 00 00  2001 09 11 23 59 59   880.0     0
G19  059  BLOCK IIR-B           2004-009A  2004 03 20 00 00 00                       1100.0     0
G20  020  BLOCK II              1990-025A  1990 03 26 00 00 00  1996 12 13 23 59 59   880.0     0
G20  051  BLOCK IIR-A           2000-025A  2000 05 11 00 00 00                       1100.0     0
G21  021  BLOCK II              1990-068A  1990 08 02 00 00 00  2003 01 27 23 59 59   880.0     0
G21  045  BLOCK IIR-A           2003-010A  2003 03 31 00 00 00                       1100.0     0
G22  022  BLOCK IIA             1993-007A  1993 02 03 00 00 00  2003 08 06 23 59 59   975.0     0
G22  047  BLOCK IIR-B           2003-058A  2003 12 21 00 00 00  2022 01 18 23 59 59  1100.0     0
G22  041  BLOCK IIR-A           2000-071A  2022 01 20 00 00 00                       1100.0     0
G23  023  BLOCK IIA             1990-103A  1990 11 26 00 00 00  2004 02 16 23 59 59   975.0     0
G23  060  BLOCK IIR-B           2004-023A  2004 06 23 00 00 00  2020 06 09 23 59 59  1100.0     0
G23  076  BLOCK IIIA            2020-041A  2020 07 14 00 00 00                       2000.0     0
G24  024  BLOCK IIA             1991-047A  1991 07 04 00 00 00  2011 09 30 23 59 59   975.0     0
G24  049  BLOCK IIR-M           2009-014A  2012 02 02 00 00 00  2012 03 14 23 59 59  1100.0     0
G24  032  BLOCK IIA             1992-079A  2012 03 15 00 00 00  2012 04 25 23 59 59   975.0     0
G24  037  BLOCK IIA             1993-032A  2012 04 26 00 00 00  2012 05 30 23 59 59   975.0     0
G24  049  BLOCK IIR-M           2009-014A  2012 08 09 00 00 00  2012 08 22 23 59 59  1100.0     0
G24  065  BLOCK IIF             2012-053A  2012 10 04 00 00 00                       1555.3     0
G25  025  BLOCK IIA             1992-009A  1992 02 23 00 00 00  2010 02 08 23 59 59   975.0     0
G25  035  BLOCK IIA             1993-054A  2010 02 09 00 00 00  2010 05 27 23 59 59   975.0     0
G25  062  BLOCK IIF             2010-022A  2010 05 28 00 00 00                       1555.3     0
G26  026  BLOCK IIA             1992-039A  1992 07 07 00 00 00  2015 01 05 23 59 59   975.0     0
G26  032  BLOCK IIA             1992-079A  2015 02 05 00 00 00  2015 02 24 23 59 59   975.0     0
G26  027  BLOCK IIA             1992-058A  2015 02 27 00 00 00  2015 03 16 23 59 59   975.0     0
G26  071  BLOCK IIF             2015-013A  2015 03 25 00 00 00                       1555.3     0
G27  027  BLOCK IIA             1992-058A  1992 09 09 00 00 00  2012 10 17 23 59 59   975.0     0
G27  049  BLOCK IIR-M           2009-014A  2012 10 18 00 00 00  2013 05 09 23 59 59  1100.0     0
G27  066  BLOCK IIF             2013-023A  2013 05 15 00 00 00                       1555.3     0
G28  028  BLOCK IIA             1992-019A  1992 04 10 00 00 00  1997 08 15 23 59 59   975.0     0
G28  044  BLOCK IIR-A           2000-040A  2000 07 16 00 00 00  2022 10 25 23 59 59  1100.0     0
G28  049  BLOCK IIR-M           2009-014A  2022 10 26 00 00 00  2022 11 02 23 59 59  1100.0     0
G28  079  BLOCK IIIA            2023-009A  2023 01 31 00 00 00                       2000.0     0
G29  029  BLOCK IIA             1992-089A  1992 12 18 00 00 00  2007 10 23 23 59 59   975.0     0
G29  057  BLOCK IIR-M           2007-062A  2007 12 20 00 00 00                       1100.0     0
G30  030  BLOCK IIA             1996-056A  1996 09 12 00 00 00  2011 08 04 23 59 59   975.0     0
G30  035  BLOCK IIA             1993-054A  2011 08 05 00 00 00  2013 05 06 23 59 59   975.0     0
G30  049  BLOCK IIR-M           2009-014A  2013 05 10 00 00 00  2013 08 21 23 59 59  1100.0     0
G30  032  BLOCK IIA             1992-079A  2013 08 22 00 00 00  2013 09 16 23 59 59   975.0     0
G30  037  BLOCK IIA             1993-032A  2013 09 19 00 00 00  2013 10 07 23 59 59   975.0     0
G30  027  BLOCK IIA             1992-058A  2013 12 03 00 00 00  2013 12 17 23 59 59   975.0     0
G30  049  BLOCK IIR-M           2009-014A  2013 12 19 00 00 00  2014 02 10 23 59 59  1100.0     0
G30  064  BLOCK IIF             2014-008A  2014 02 21 00 00 00                       1555.3     0
G31  031  BLOCK IIA             1993-017A  1993 03 30 00 00 00  2005 10 24 23 59 59   975.0     0
G31  052  BLOCK IIR-M           2006-042A  2006 09 25 00 00 00                       1100.0     0
G32  023  BLOCK IIA             1990-103A  2006 12 02 00 00 00  2016 01 25 23 59 59   975.0     0
G32  070  BLOCK IIF             2016-007A  2016 02 05 00 00 00                       1555.3     0
R01  771  GLONASS               1992-005C  1996 01 01 00 00 00  1996 12 21 23 59 59   900.0    23
R01  779  GLONASS               1998-077A  1998 12 30 00 00 00  2004 12 25 23 59 59   900.0     2
R01  796  GLONASS               2004-053A  2004 12 26 00 00 00  2009 12 13 23 59 59   900.0     7
R01  730  GLONASS-M             2009-070A  2009 12 14 00 00 00                       1415.0     1
R02  757  GLONASS               1993-010B  1996 01 01 00 00 00  1997 08 23 23 59 59   900.0     5
R02  794  GLONASS               2003-056B  2003 12 10 00 00 00  2008 12 24 23 59 59   900.0     1
R02  728  GLONASS-M             2008-067C  2008 12 25 00 00 00  2013 06 30 23 59 59  1415.0    -4
R02  747  GLONASS-M             2013-019A  2013 07 01 00 00 00                       1415.0    -4
R03  763  GLONASS               1994-076A  1994 11 20 00 00 00  2001 11 30 23 59 59   900.0    21
R03  789  GLONASS               2001-053B  2001 12 01 00 00 00  2008 12 24 23 59 59  1415.0    12
R03  727  GLONASS-M             2008-067A  2008 12 25 00 00 00  2010 09 30 23 59 59  1415.0     5
R03  722  GLONASS-M             2007-065B  2010 10 01 00 00 00  2010 12 15 23 59 59  1415.0    -5
R03  727  GLONASS-M             2008-067A  2010 12 16 00 00 00  2011 03 10 23 59 59  1415.0     5
R03  715  GLONASS-M             2006-062C  2011 03 11 00 00 00  2011 10 12 23 59 59  1415.0    -6
R03  801  GLONASS-K1            2011-009A  2011 10 13 00 00 00  2011 11 30 23 59 59   750.0    -5
R03  744  GLONASS-M             2011-064A  2011 12 01 00 00 00                       1415.0     5
R04  762  GLONASS               1994-076C  1994 11 20 00 00 00  1999 11 19 23 59 59   900.0    12
R04  795  GLONASS               2003-056C  2003 12 10 00 00 00  2009 12 13 23 59 59   900.0     6
